epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,250.967,1.78692,2.41625,1.99934,0.39106,0.55682,0.40406,0.11567,2.07707,2.30848,3.38406,0.000654762,0.000654762,0.000654762
2,503.15,1.80178,1.67525,1.9935,0.458,0.32955,0.26463,0.07717,2.01678,3.69254,3.51462,0.00130508,0.00130508,0.00130508
3,754.534,1.9056,1.65338,2.06887,0.08945,0.23332,0.04366,0.00908,2.62305,10.2476,4.27247,0.00193889,0.00193889,0.00193889
4,1006.5,1.96146,1.56522,2.06449,0.24854,0.73292,0.23215,0.06354,2.26984,3.2141,2.80411,0.00192575,0.00192575,0.00192575
5,1257.75,1.85645,1.53035,1.97551,0.62978,0.75,0.62855,0.20528,2.34339,2.25862,2.63999,0.001901,0.001901,0.001901
6,1506.04,1.84596,1.39562,1.97288,0.76016,0.8284,0.82075,0.31702,1.96603,1.49243,2.15435,0.00187625,0.00187625,0.00187625
7,1757.33,1.85691,1.41373,1.93971,0.79025,0.88636,0.81464,0.30508,2.02578,1.24858,2.10933,0.0018515,0.0018515,0.0018515
8,2008.03,1.82204,1.39934,1.91589,0.62398,0.54687,0.5531,0.17275,2.39891,3.07788,2.5973,0.00182675,0.00182675,0.00182675
9,2259.53,1.8041,1.32227,1.92128,0.09733,0.10227,0.03275,0.0079,2.75024,6.02376,3.78268,0.001802,0.001802,0.001802
10,2506.87,1.81997,1.38596,1.93464,0.54975,0.44318,0.36836,0.07532,2.57199,2.16274,2.7324,0.00177725,0.00177725,0.00177725
11,2757.39,1.81044,1.35718,1.94808,0.86851,0.82955,0.91071,0.38844,1.70909,1.13807,1.91599,0.0017525,0.0017525,0.0017525
12,3008.13,1.73686,1.35298,1.87005,0.17744,0.28409,0.21087,0.04715,2.67682,2.63508,3.07499,0.00172775,0.00172775,0.00172775
13,3258.08,1.73204,1.33131,1.86747,0.86615,0.90909,0.86089,0.36794,1.79199,1.17452,1.95113,0.001703,0.001703,0.001703
14,3506.95,1.80937,1.34015,1.93775,0.78093,0.81019,0.84172,0.36598,1.74886,1.25546,1.95848,0.00167825,0.00167825,0.00167825
15,3757.15,1.74498,1.34642,1.90566,0.75289,0.76136,0.78889,0.33183,1.70701,1.4423,2.01252,0.0016535,0.0016535,0.0016535
16,4007.41,1.73217,1.27934,1.89919,0.7667,0.85895,0.84747,0.33878,1.82897,1.22639,2.01937,0.00162875,0.00162875,0.00162875
17,4256.49,1.68594,1.29451,1.84411,0.87286,0.85823,0.85996,0.36481,1.73357,1.12023,1.96431,0.001604,0.001604,0.001604
18,4506.77,1.7469,1.28867,1.86095,0.84569,0.87193,0.86857,0.40482,1.69836,1.13758,1.93173,0.00157925,0.00157925,0.00157925
19,4756.87,1.70389,1.26999,1.84274,0.7147,0.875,0.80198,0.37374,1.63762,1.15342,1.90193,0.0015545,0.0015545,0.0015545
20,5006.88,1.71448,1.24559,1.85122,0.64956,0.73722,0.73658,0.32299,1.66504,1.13164,1.94382,0.00152975,0.00152975,0.00152975
21,5256.7,1.74515,1.26022,1.91344,0.80293,0.87974,0.86231,0.35306,1.74681,1.2024,1.99637,0.001505,0.001505,0.001505
22,5508.19,1.71009,1.28104,1.83839,0.11572,0.54545,0.11391,0.03089,2.71474,2.73599,3.0564,0.00148025,0.00148025,0.00148025
23,5757.09,1.68839,1.2751,1.83578,0.57642,0.89773,0.68444,0.30329,1.66405,1.23437,1.94908,0.0014555,0.0014555,0.0014555
24,6006.58,1.64748,1.31877,1.82107,0.69319,0.89773,0.82963,0.34058,1.67626,1.20801,1.95879,0.00143075,0.00143075,0.00143075
25,6255.85,1.62227,1.25227,1.82679,0.56943,0.81818,0.68563,0.30707,1.6369,1.40207,1.91175,0.001406,0.001406,0.001406
26,6505.67,1.66028,1.23357,1.81562,0.93029,0.875,0.94603,0.40717,1.6959,1.12119,1.92157,0.00138125,0.00138125,0.00138125
27,6755.87,1.66739,1.26362,1.83705,0.73954,0.77438,0.73061,0.32101,1.62771,1.15338,1.95306,0.0013565,0.0013565,0.0013565
28,7006.37,1.66289,1.27317,1.84649,0.80232,0.87632,0.8999,0.3696,1.6544,1.18098,1.94387,0.00133175,0.00133175,0.00133175
29,7256.13,1.68721,1.23308,1.84481,0.81824,0.86364,0.86037,0.36976,1.69489,1.1433,1.94914,0.001307,0.001307,0.001307
30,7505.66,1.63271,1.25356,1.84237,0.71627,0.77457,0.81934,0.37146,1.62653,1.15158,1.96497,0.00128225,0.00128225,0.00128225
31,7754.89,1.60982,1.26242,1.78609,0.77659,0.73864,0.82868,0.38526,1.64,1.11247,1.90189,0.0012575,0.0012575,0.0012575
32,8005.97,1.67693,1.28179,1.82066,0.67041,0.80682,0.75833,0.31712,1.62192,1.19422,1.91372,0.00123275,0.00123275,0.00123275
33,8257.48,1.63913,1.29063,1.82978,0.72384,0.80421,0.82781,0.38623,1.61225,1.15169,1.88148,0.001208,0.001208,0.001208
34,8509.04,1.6149,1.21288,1.80155,0.86386,0.79319,0.87185,0.39981,1.6346,1.06409,1.88461,0.00118325,0.00118325,0.00118325
35,8757.44,1.64119,1.24827,1.83565,0.6175,0.8439,0.74602,0.35539,1.64809,1.15466,1.93118,0.0011585,0.0011585,0.0011585
36,9006.45,1.60671,1.22225,1.81062,0.74348,0.84091,0.83562,0.37924,1.58214,1.12078,1.9028,0.00113375,0.00113375,0.00113375
